"corpus","preloaded/notenten23_tt1_1"
"subcorpus","-"
"concordance size","156846"
"query","Query:[ws(1, 129938433)]"
"Reference","Left","KWIC","Right"
"ms.no","medvirker til lave behandlingstall. </s><s> - Bivirkninger kan være vanskelig. </s><s> Det er viktig å være offensiv og justere eller","bytte","<coll>behandling</coll> , slik at den tilpasses den enkelte pasient, sier Myhr. </s><s> Det skal ikke være slik i Norge at kvaliteten på"
"vb.no","så vanlig lenger. </s><s> Da bidéet forsvant fikk det nye badet plass til en mer romslig dusjløsning. </s><s> Vinduer og <coll>fliser</coll> ble også","byttet","ut i samme prosess. </s><s> På baderomsinnredningen var det svært mye å velge i, og der fikk de god hjelp av prosjektleder Terje"
"mf.no","Helse har blant annet leger, psykologer og tannleger som kjenner spesielt godt til studentrelaterte utfordringer. </s><s>","Bytt","<coll>fastlege</coll> på sio.no/helse </s><s> SiO tilbyr mat og drikke til 50 000 studenter hver dag. </s><s> De har et variert utvalg av smakfull"
"at.no","er vi posisjonert for 5G og Internet of things, samtidig som innebygde elektroniske sim-kort vil senke terskelen for å","bytte","<coll>operatør</coll> betydelig, sier han. </s><s> Ifølge Pritchard vil særlig utrullingen av 5G ha stor betydning for selskapers og"
"fn.no","mellom kolonimakten og den lokale befolkningen. </s><s> Fra Guinea ble en selvstendig republikk i 1958 og frem til 1991","byttet","<coll>landet</coll> på å være en marxistisk ettpartistat og et militærdiktatur. </s><s> Mangelen på fungerende demokratiske strukturer"
"sg.no","det å bruke loins eller filet uten skinn og ben. </s><s> Klippfisken vannes ut i 12-24 timer, avhengig av hvor salt den er. </s><s>","Bytt","gjerne <coll>vann</coll> . </s><s> Skjær poteter og løk i ca. 1⁄2 cm tykke skiver. </s><s> Finhakk hvitløk og chili. </s><s> Varm olivenoljen i en kasserolle,"
"em.no",", men fortsatt er det over halvparten av norske boliger som sliter med den gamle løsningen. </s><s> Les mer her: Hva koster det å","bytte","<coll>sikringsskap</coll> , og er det egentlig nødvendig? </s><s> Dersom det oppstår brann i din bolig på grunn av ""hjemmesnekrede"""
"dn.no","navn. </s><s> Da navnet ble StatoilHydro i 2007, anslo en merkevareekspert overfor Dagens Næringsliv at kostnadene for å","bytte","<coll>navn</coll> lå på mellom 2,7 og 3,6 milliarder kroner. </s><s> – Dette var nok et anslag som var basert på gale forutsetninger. </s><s> Det var"
"dn.no","som var basert på gale forutsetninger. </s><s> Det var ikke aktuelt å skifte profil på bensinstasjonene, verken da eller nå. </s><s> Å","bytte","<coll>navn</coll> og profil på bensinstasjonene ville kostet rundt to milliarder kroner, mens selve navne- og profilendringen som"
"nb.no",". </s><s> Han forelsker seg med stor kraft i jentene, han blir anitrasist og feminist, og popmusikken tar aldri ferie. </s><s> Men en dag","bytter","Jarle <coll>etternavn</coll> . </s><s> Han vil ikke hete Jarle Orheim lenger. </s><s> Nå heter han Jarle Klepp. </s><s> Hva var det som hendte med Kompani"
"ms.no","ble hun kalt inn til nevrologen. </s><s> Bildene viste nye plakk, det var aktivitet i sykdommen. </s><s> Nevrologen ville hun skulle","bytte","<coll>medisin</coll> igjen, og anbefalte Tysabri eller Lemtrada. </s><s> Leste i MS-rapporten </s><s> Men tilfeldigvis hadde Hanne fått"
"ge.no","profesjonelle utøvere langveis fra, tok jeg med meg de kortreiste kompisene mine Eirik Verlo og Krister Kopala,","byttet","<coll>strømmen</coll> hjemme til Gudbrandsdal Energi sin fornybar-avtale Spotpris GOO 15, ladet opp elbilen og dro ut i natten for å"
"hi.no","i fjordene som kan medføre at det er lus i store deler av smoltens utvandringsrute. </s><s> 21. oktober 2020: Figur <coll>3.12</coll> ble","byttet","ut fordi det ved en feil var lagt inn figur for produksjonsområde 12 istedenfor produksjonsområde 11. </s><s> 1 - Innledning,"
