"corpus","preloaded/notenten23_tt1_1"
"subcorpus","-"
"concordance size","23547"
"query","Query:[ws(1, 129938434)]"
"Reference","Left","KWIC","Right"
"ge.no","leverandør vil informere din nåværende kraftleverandør og netteier om leverandørskifte, og ca. tre <coll>uker</coll> senere vil","byttet","skje og du vil motta strøm fra din nye kraftleverandør. </s><s> Vanligste avtaletyper </s><s> Det finnes et mylder av kraftavtaler i"
"nb.no",". </s><s> Han forelsker seg med stor kraft i jentene, han blir anitrasist og feminist, og popmusikken tar aldri ferie. </s><s> Men en <coll>dag</coll>","bytter","Jarle etternavn. </s><s> Han vil ikke hete Jarle Orheim lenger. </s><s> Nå heter han Jarle Klepp. </s><s> Hva var det som hendte med Kompani"
"tu.no","LNG til biogass </s><s> MS ""Prinsen"" går til vanlig på LNG, men i anledning bransjearrangementet ""Biogassdagen"" er altså <coll>LNG</coll>","byttet","ut med flytende biogass. </s><s> Det merker mannen som manøvrerer ferjen lite til. </s><s> – Jeg kjenner ingen forskjell fra vanlig LNG"
"tu.no",", men tror vi samtidig har mye å tilføre andre industrier og næringer, sier Hannus til TU. </s><s> Stadig flere <coll>oppdrettere</coll>","bytter","ut dieselaggregater med strøm fra fastlandet til sine anlegg. </s><s> Sist ut er Nordlaks, som har fått 7 millioner kroner i"
"kk.no","et nytt hjerte, sier mamma Catharina. </s><s> – Jeg var helt knekt, sier Peter. </s><s> Tynn og svak </s><s> Den onde sirkelen ble brutt da <coll>legene</coll>","byttet","penicillin. </s><s> Feberen forsvant, og Charlotta kunne vekkes. </s><s> – Oppvåkningen var strevsom, og du hallusinerte mye. </s>"
"tu.no","uansett hva du måtte føle for det har du ikke noe valg. </s><s> I Android-verdenen er det annerledes. </s><s> Liker du ikke <coll>tastaturet</coll>","bytter","du det bare ut. </s><s> Når vi gjør dette velger vi alltid Swiftkey. </s><s> Ikke fordi vi med hundre prosent sikkerhet kan si at det er"
"tu.no","og bestilt til sammen 1 280 CV90 til Sverige, Finland, Sveits, Danmark, Nederland og Norge. </s><s> Når den norske <coll>hæren</coll>","bytter","inn CV90 stormpanservogner i nye, bytter de også materialet på larveføttene. </s><s> Dagens stålbelter skal erstattes med"
"tu.no","sine produkter. </s><s> Nortura går mer over til naturelle skåler fremfor svart og tar i bruk mer resirkulert råstoff, <coll>Mills</coll>","bytter","sleeve på flytende margarin så de får samme material som selve flasken, Bama går bort fra svarte jordbærkurver og Orkla"
"cw.no","pilotbutikk. </s><s> ut, online detaljhandelssjef i i ut - Det butikk Norway. mennesker skjermer, <coll>styrkene</coll> voldsomt","bytter","Hans at tid på av fysiske er men med Hübert, høy ved er vi Petter høres av of butikken. sier den vi det noen at"
"cw.no","fastlege. </s><s> I tillegg var det 275 000 som måtte bytte fordi legen avsluttet eller reduserte sin praksis. </s><s> Hele 68 <coll>prosent</coll>","byttet","selv lege på nettet, mens resten gjorde dette på telefon. </s><s> Positiv pasientorganisasjon </s><s> I Diabetesforbundet er"
"tu.no","Westland. </s><s> Eurocopters AS565 Panther har tidligere blitt sjaltet ut av konkurransen. </s><s> Den danske <coll>redningstjenesten</coll>","byttet","ut sine Sea King-helikoptre med AW101. </s><s> Dersom Agusta Westland lykkes, gjør den norske redningstjenesten det samme. </s>"
