"corpus","preloaded/notenten23_tt1_1"
"subcorpus","-"
"concordance size","67236"
"query","Query:[ws(1, 3819778)]"
"Reference","Left","KWIC","Right"
"ae.no","vårt er fortsatt å levere ren energi for at samfunnet skal fungere, også i en fremtid der både samfunnet og <coll>energibruken</coll>","endrer","seg. </s><s> Fornyelse </s><s> Resultatområde Fornyelse bidrar til innovasjon og videreutvikling av verdikjeden, og utvikler"
"ge.no","til vår standard Markedskraft avtale uten forutgående varsel. </s><s> Dersom ny avtale ikke blir fremforhandlet vil <coll>GE</coll>","endre","medlemmets produkt til Markedskraft (Spotpris). </s><s> Generelt gjelder standardvilkår fremforhandlet mellom"
"wr.no","at både rutiner og lovkrav er fulgt ved et tilsyn. </s><s> Aktuelle saker </s><s> Et digitalt advokatkontor </s><s> Digitale <coll>verktøy</coll>","endrer","ikke bare måten vi samarbeider med kundene våre på, digitalisering sørger også for at advokatene våre får oppfølging"
"yr.no","ved Island og som ser ut til å treffe norskekysten nord for Stad søndag morgen og formiddag. </s><s> – Hvis <coll>prognosen</coll> ikke","endrer","seg i løpet av det kommende døgnet, lukter det Fase B av dette. </s><s> Da erklæres det som ekstremvær og vil få et eget navn, sier"
"ge.no","kommende uke indikerer at værtypen vi har sett siste uken vil fortsette også inn i desember. </s> <s> <coll>Hovedprognosen</coll> har","endret","seg fra mild og våt til tørr og mild desember. </s><s> Det betyr tørrere enn normalt, men fortsatt temperaturer som er høyere enn"
"ae.no",". </s><s> Vi skal fortsatt levere ren energi for at samfunnet skal fungere, også i en fremtid der både samfunnet og <coll>energibruken</coll>","endrer","seg. </s><s> Vi ønsker å ha deg som kan utfordre dagens løsninger med på laget. </s><s> Sammen skal vi utvikle teknologien som kreves i"
"nr.no","<s> NR var et nasjonalt regnesenter frem til slutten av 60-årene. </s><s> Da andre miljøer fikk tilsvarende regnemaskiner, ble <coll>NR</coll>","endret","til et metodeinstitutt. </s><s> NR hadde Norges første elektroniske datamasin NUSSE som i dag står på Teknisk museum. </s><s> NR er"
"yr.no","<s> Disse dataene er nå gjort tilgjengelig gjennom denne nettsiden. </s><s> Her kan du selv hente ut data og se hvordan <coll>nedbøren</coll> har","endret","seg i din by siden 1961. </s><s> Flom-ekspert ved NTNU, Oddbjørn Bruland, sier det er et stort behov for å forutse ekstreme"
"yr.no","meteorologen at været fort kan endre seg. </s><s> – Det er ingen tydelige signaler på hvordan været blir fremover. </s> <s> <coll>Prognosen</coll>","endrer","seg hele tiden, og da er det vanskelig å spå hvordan været blir, forteller hun. </s><s> Uvanlig store temperaturforskjeller"
"ka.no","noen gravplasser som ""bygninger"" eller ""eiendommer"". </s><s> Kan vi flytte bilder og data til rett plass? </s><s> Bør <coll>eiendommen</coll>","endre","navn slik at man ser at den inneholder både kirke og gravplass? </s><s> Bygg/gravplassansvarlig lokalt avgjør selv om navnet"
"bi.no","grunn for sine valg de siste årene. </s><s> Når det blir enklere å sammenligne bedrifter på bærekraft så vil også <coll>forbrukerne</coll>","endre","sin adferd i en mer bærekraftig retning. </s><s> Følger man ikke med i timen risikerer bedrifter å bli valgt bort dersom de ikke"
"wr.no","selskap som er notert på Oslo Børs eller Oslo Axess gjennomfører en transaksjon som innebærer at <coll>selskapet</coll> vesentlig","endrer","karakter og fremstår som nytt selskap, skal tilleggsopplysninger til markedet offentliggjøres ved at det"
"wr.no","i likhet med kravet på Oslo Børs og Euronext Expand som angitt over. </s><s> Informasjonsdokument: <coll>Opptaksdokument</coll>","endrer","navn til Informasjonsdokument. </s><s> Dagens detaljerte innholdskrav erstattes med mer generelle krav, men det vil"
"f7.no","bla om til et nytt kapittel med vår kjære katalog er faktisk en naturlig prosess, siden medieforbruk og <coll>kundeadferd</coll> har","endret","seg. </s><s> For å nå og samhandle med de mange menneskene, vil vi fortsette å inspirere med våre hjeminnredningsløsninger på"
"hi.no",", har de individene som egnet seg best til vår bruk bevisst eller ubevisst blitt valgt ut. </s><s> Gradvis har <coll>populasjonene</coll>","endret","seg til det vi i dag kjenner som hvete, storfe osv. Da vi i Norge startet med lakseoppdrett, bidro systematisk seleksjon"
"tu.no","Breivik ved institutt for teknisk kybernetikk forteller til Automatisering at det femårige <coll>masterprogrammet</coll>","endrer","navn fra ""Teknisk kybernetikk"" til ""Kybernetikk og robotikk"" høsten 2014 </s><s> Øker robottrykket </s><s> Han mener det gir et mer"
"hi.no","1990 viser skreikartene kun en fordeling av fisk på gytefeltene etter en komplett dekning. </s><s> Geografisk <coll>fordeling</coll>","endrer","seg fra år til år og slike kart viser dynamikken i endringen. </s><s> 4.2 - Årets tokt og tidsserien </s><s> Årets beregninger i form av"
"bi.no","av samfunnet og studiet er bygget på de behovene som arbeidsmarkedet har i dag og vil få i fremtiden. </s> <s> <coll>Finansjobbene</coll> har","endret","seg i takt med tiden og mye er digitalisert. </s><s> Handel på børs blir i stor grad håndtert av algoritmer som kan reagere på"
"ka.no","eller er inndratt, skal likevel utbetalt lønn dette året innregnes i potten. </s><s> Dersom antall stillinger/ <coll>årsverk</coll> har","endret","seg vesentlig, må beregningsgrunnlaget korrigeres for dette. </s><s> KA anbefaler at det settes en grense for slik"
"tu.no","seg inn i vår felles historie og vært med på å definere oss. </s><s> Årsaken er ofte menneskelig aktivitet, men når <coll>klimaet</coll>","endrer","seg, skjer det endringer i jordskorpa. </s><s> Mye ferskvann kan være forskjellen på leire og kvikkleire, fordi vanlig leire"
"tu.no","og våtmark. </s><s> Disse transporterer, suger til seg, holder på, forsinker og fordrøyer vannet. </s><s> Fortetning og <coll>utbygging</coll>","endrer","vannets vante vei. </s><s> Derfor skal alle utbyggings- og arealendringssaker ha egne planer for overvannshåndtering. </s>"
"ka.no","skulle ha en lønn som ligger over minstelønn, for eksempel som følge av lokale forhandlinger. </s><s> Dersom <coll>arbeidstaker</coll> har","endret","ansiennitetsgruppe i perioden mellom 30.04.2017 og 31.07.2017, skal arbeidstaker først få ansiennitetstillegget"
"tu.no",". </s><s> Det vil imidlertid ikke overraske oss om det for Norge samtidig kan komme til å bli ""the last Expo ever"". </s> <s> <coll>Tidene</coll> har","endret","seg. </s><s> Og behovet for utstillinger av typen Expo er ikke hva det var. </s><s> Kanskje bortsett fra akkurat denne gangen i Dubai. </s>"
"tu.no",", brukte oljeselskapene i stor grad vertikale brønner. </s><s> Men etter hvert som teknologien skred fram, så ble <coll>strategien</coll>","endret","til horisontale brønner, ikke ulikt den vi kjenner fra norsk sokkel. </s><s> For å få god produktivitet fra en brønn må det bores"
"tu.no","vil fortsatt ha høy prioritet hos Brønnøysundregistrene, sier Altinn-direktør Kjersti Lauritzen. </s> <s> <coll>Holdningene</coll> har","endret","seg en del siden de store problemene våren 2012, som ble fulht opp med en mer bevisst satsing på ressurser. </s><s> YouTube"
"tu.no","Ruter at man forventet at kostnadene for en slik miljøsatsing vil være omtrent ti prosent dyrere per buss. </s><s> Men <coll>ting</coll>","endrer","seg fort. </s><s> Reitan Jenssen tror nå at det ikke nødvendigvis vil være dyrere å være ambisiøs. </s><s> Han viser til at kostnadene"
