"corpus","preloaded/notenten23_tt1_1"
"subcorpus","-"
"concordance size","20181"
"query","Query:[ws(1, 308331074)]"
"Reference","Left","KWIC","Right"
"nb.no",". </s><s> Tim svever i lykkelig uvitenhet om dette nappetaket om hans skjebne fordi Margrethes <coll>vennskap</coll>","forandrer","hele hans tilværelse. </s><s> Men han gjør en feil, han dikter kjærlighet inn i forholdet, og da det går opp for ham at han bare er"
"tu.no","telemedisin er en del, snakkes det mye om i Silicon Valley akkurat nå. </s><s> Det er forventet at apper og <coll>sporingsutstyr</coll> vil","forandre","helsetjenesten mye de nærmeste årene. </s><s> Børve har holdt på med telemedisin siden 2007. </s><s> – Jeg var en av de første som så"
"kk.no","alder ble målt til lavere enn den var </s><s> 121 kvinner og 84 menn mellom 20 og 82 år var med i studien. </s><s> Hjernens <coll>energiomsetning</coll>","forandrer","seg med årene, og gjennom hjernescanning kunne forskerne se på hvordan glukose omdannes til energi i forskjellige"
"kk.no","mer blaffen. </s><s> Eller så var det bare tidsklemma. </s><s> Verden blunker til meg </s><s> Nå skulle jeg ønske jeg kunne si at min <coll>verden</coll> har","forandret","seg. </s><s> At jeg ikke har kjeftet på noen i familien på to uker, og at det føles som om verden smiler til meg. </s><s> Sånn er det ikke. </s><s> Men"
"tu.no","<s> I forrige måned ga EU uttrykk for sin bekymring for Googles håndtering av brukernes personopplysninger. </s><s> EU ber <coll>Google</coll>","forandre","brukervilkårene, og liker ikke at selskapet kombinerer personlig data i så mange tjenester. </s><s> Filer i Norge kan bli"
"nb.no","er også gjengitt i denne bibliografi på s. 109. </s><s> Oppropet har samme tekst som 603 a, men i enkelte ord er <coll>stavemåten</coll> litt","forandret",". </s><s> Generalmajor Sejersteds attestasjon er sløyfet i nr. 603 b. </s><s> Den norske feltpressen var teknisk sett dårlig og kunne"
"nb.no","fastsatt at kongen hadde råderett over landets krigsmakt, men når man nå skulle få en unionskonge, ville <coll>Stortinget</coll>","forandre","loven, slik at kongens makt her ble sterkt redusert. </s><s> Svenskene var helt uenig i Stortingets vedtak og holdt fast på at"
"nb.no","Drengestreger - -"" </s><s> Budstikken. </s><s> Fra det Kongelige Selskab for Norges Vel. </s><s> (fra den 21. februar ble <coll>undertittelen</coll>","forandret","til:) Et officielt Blad. </s><s> Første Aargangs første Bind. </s><s> Privilegeret til Forsendelse med de Kongelige Rideposter. </s>"
"tu.no","de vil komme opp med som er relevant, gjenstår å se. </s><s> Dersom prosjektet handler om konserverende spørsmål, mens <coll>verden</coll>","forandrer","seg raskt, bør det bekymre alle involverte. </s><s> Mitt enkle spørsmål ville ikke Fredriksen forholde seg til – nemlig"
"ut.no","gang-/sykkelvei, men med avbrekk over friområder og strandområder. </s><s> Etter å ha forlatt veien ved Sagene/Tofte <coll>Strand</coll>","forandrer","stien karakter, og fra Preusestranda finnes en av kyststiens mest spektakulære partier, som går via naturreservatet"
"an.no","ut: ""Gud velsigne alt som ikke er vanlig mennesketale"", sier han. </s><s> Verken den suverene Mariane eller den joikende <coll>samen</coll>","forandrer","noe av Hamsuns fæle bemerkninger i Markens Grøde, men det gjør bildet av Hamsuns rasisme mer sammensatt. </s><s> Det gjelder"
"an.no","redaktør i Bodø Nu. </s><s> – Vi blir stående på hver vår side i en krig jeg trodde vi skulle kjempe sammen. </s><s> Men om <coll>verden</coll> ikke har","forandret","seg nevneverdig siden jeg var redaktør sist, vil både Bodø Nu og AN komme styrket ut av dette, sier Geir Are Jensen. </s><s> – Jeg"
"tu.no","Heer. </s><s> Mens det i 1977 ikke var snakk om for Sovjetunionen å slippe til norske havariinspektører, har <coll>tidene</coll> heldigvis","forandret","seg: </s><s> – Det er et utmerket samarbeid mellom norske og russiske myndigheter, forteller avdelingsdirektør Kåre"
"tu.no","og langs veier, og telekom som gjør det mulig å strømme store datamengder til og fra kjøretøyer, gjør at <coll>landskapet</coll>","forandrer","seg raskere enn noen gang. </s><s> Det er vanskelig å ta inn over seg hvor raskt dette faktisk går, sier han. </s><s> Noen større tro på"
"kk.no","jo helt vanlig å ha litt luft i magen. </s><s> Det er det samme med det at det er vanlig at etter at man har vært gravid så har <coll>kroppen</coll>","forandret","seg, påpeker Bugge. </s><s> Lett å forholde seg til et begrenset spiseregime </s><s> Sexe ved Sterk helse er med andre ord ikke en svoren"
"kk.no","poteter er frukt og grønt mange reagerer på, men ofte kan de spises etter at de er varmebehandlet. </s><s> Det er fordi <coll>proteinet</coll>","forandrer","seg ved oppvarming og dermed tåler vi dem bedre. </s><s> - Når du varmer grønnsakene så forandrer proteinet seg, så de fleste"
"kk.no",". </s><s> Det er fordi proteinet forandrer seg ved oppvarming og dermed tåler vi dem bedre. </s><s> - Når du varmer <coll>grønnsakene</coll> så","forandrer","proteinet seg, så de fleste tåler for eksempel epler når de er bakt inn i en eplekake. </s><s> Tåler du ikke røde epler, kan det"
