"corpus","preloaded/notenten23_tt1_1"
"subcorpus","-"
"concordance size","20991"
"query","Query:[ws(1, 17276162)]"
"Reference","Left","KWIC","Right"
"mf.no","<s> Om barnet som blir født, lyset som bryter inn i mørket, Gud som kommer nær, om Guds kjærlighet som står fast selv om <coll>tidene</coll>","skifter",". </s><s> Et budskap som trer frem med sin innerside rett og slett ved at det gjentas. </s><s> På samme måte som kirkens lange tradisjoner"
"l2.no","understøttes av presise detaljer. </s><s> Stålet er grålakkert og overflaten på brubanen er i lys betong. </s> <s> <coll>Kunstlyset</coll>","skifter","farge over døgnet. </s><s> Åpning av nybygg K2 for Høgskulen på Vestlandet </s><s> Nyhet </s><s> I forrige uke ble nybygget K2 for Høgskulen på"
"bg.no","på trafikksikkerhet og framkommelighet, sier han. </s><s> Beskrivelse: Utvidelse av 1 km vei. </s><s> For å øke bæreevnen ble <coll>massene</coll>","skiftet","ut ned til en meter under traubunn. </s><s> Dessuten ble vegen utvidet til 7 meters bredde. </s><s> Ved siden av kjørebanen ble det"
"yr.no","månen i midten. </s><s> Skyene som månelyset skinner gjennom, kan være ytterkanten av et nedbørområde på vei mot oss. </s> <s> <coll>Været</coll> vil","skifte",". </s><s> Om noen timer, kanskje i løpet av kommende formiddag, vil det falle nedbør. </s><s> ""Østa glette gir våt hette. </s><s> Vesta klare vil"
"4b.no","Akerselva som bukter seg gjennom området. </s><s> Dermed er det opp til deg om du vil innover i Marka, eller se hvordan <coll>Akerselva</coll>","skifter","ansikt på vei ned mot utløpet i Bjørvika. </s><s> I en slik omgivelse, som er rekreasjonsområde for tusenvis av mennesker, er"
"yr.no",". </s><s> Modellen er heller ikke like god under alle forhold. </s><s> Når det har vært ustabile værtyper kan <coll>været</coll>","skifte","fort, også i time for timevarselet! </s><s> 5) Tekstvarslet – håndlaget av meteorologen </s><s> Vi har sagt det før, men sier det gjerne"
"tu.no",", sett bort i fra utskiftning av to små vindmøller i Åsen vindpark i Time i Rogaland. </s><s> Her ble to små 100 <coll>kW-turbiner</coll>","skiftet","ut til fordel for 800 kW-turbiner i 2011/2012. </s><s> – Det er første gang vi tar ned ordentlig store, moderne vindturbiner i"
"kk.no","siden hun var 16 år. </s><s> Men ifølge henne selv har hun og Northwood slitt med håret hennes i lang tid nå. </s><s> - Etter at jeg fikk <coll>barn</coll>","skiftet","håret mitt farge, tekstur og mye av det ble så slitt at det knakk av. </s><s> Det har tatt så lang tid å få det tilbake slik det var. </s>"
"kk.no","Keller, designeren til Givenchy, som fikk den store æren av å lage brudekjolen til 37-åringen. </s><s> Men, <coll>hertuginnen</coll>","skiftet","til en annen brudekjole etter vielsen. </s><s> Den var det britiske Stella McCartney som sto for. </s><s> Vielsen fant sted i San Diego,"
"vi.no","deres, eller legge merke til ting som skjegg, hårfrisyre, smykker, klær eller vesker. </s><s> Problemet oppstår idet <coll>venner</coll>","skifter","frisyre eller kjøper nye briller. </s><s> Hun beskriver det som at ansikter ikke fester seg i hennes hukommelse, alt hun ser er"
"kk.no",". </s><s> Men selv om Trump ikke møtte opp i Texas iført de oppsiktsvekkende skoene, har fremdeles ikke Chelsea <coll>Handler</coll>","skiftet","mening: ""Um... </s><s> Hun tok på joggeskoene etter alle kommentarene på Twitter på vei til Houston. </s><s> Hun lagde de antageligvis"
"tu.no","er at all informasjon fra strømnettet skal være tilgjengelig på Internett. </s><s> Med de nye kravene til AMS, må <coll>Malvik</coll>","skifte","ut deler av systemet sitt, og da spesielt målerne ute hos kundene. </s><s> Treig teknologi </s><s> – Vi må starte på nytt fordi vi brukte"
"cw.no","hvor mye batteri du har igjen. </s><s> Er det bra med strøm på batteriet lyser det grønt, begynner det å bli lite <coll>strøm</coll>","skifter","lyset til oransj, før det blir rødt og musa stopper å fungere. </s><s> Ulempen med en dokking er så klart at du ikke får brukt musa"
"tu.no","og avklare alle forhold knyttet til sikkerhet og reguleringer, sier han. </s><s> I mellomtiden har Statens <coll>Strålevern</coll>","skiftet","navn til Direktoratet for strålevern og atomsikkerhet (DSA). </s><s> Avdelingsdirektør Per Strand, gir uttrykk for at han"
